Field,Resource Key,Local translation
Phrase,/Resource Keys/Events/Home Page Related News,VOUS EN VOULEZ PLUS ? VOUS AIMEREZ PEUT-ÊTRE
Phrase,/Resource Keys/Button/ViewÂ allÂ News,TOUTES LES ACTUALITÉS
Phrase,/Resource Keys/Button/Add to calendar,BLOQUEZ VOTRE AGENDA ! 
Phrase,/Resource Keys/Button/View on map,VOIR SUR LA CARTE
Breadcrumb title,/Home/Practical Information,Horaires & accès
Banner Title,/Home/Navigation Container/Header Repository/Information Pratiques,HORAIRES & ACCÈS
Phrase,/Resource Keys/Practical Info/OpeningLabel,NOUS SOMMES OUVERT
Phrase,/Resource Keys/Practical Info/Mall Closed Label,NOUS SOMMES FERMÉ
Phrase,/Resource Keys/Practical Info/Normal Hours Label,HORAIRES ODYSSEUM
Phrase,/Resource Keys/Practical Info/Main Search Store Label,HORAIRES D'OUVERTURE
Phrase,/Resource Keys/Store/Search store,Chercher une boutique
Phrase,/Resource Keys/Map Azure/Input Location Placeholder,RECHERCHE
Phrase,/Resource Keys/Practical Info/Exceptional Hours Label,HORAIRES D'OUVERTURE EXCEPTIONNELS
Phrase,/Resource Keys/Map Azure/Big Title,VENEZ NOUS RENDRE VISITE
Phrase,/Resource Keys/Map Azure/Mall Name Address Text,Adresse Odysseum
Phrase,/Resource Keys/Map Azure/Information Content,COMMENT VENEZ-VOUS ?
Phrase,/Resource Keys/Map Azure/Foot,À pied
Phrase,/Resource Keys/Map Azure/Car,En voiture
Phrase,/Resource Keys/Map Azure/Bus,Transports 
Phrase,/Resource Keys/Map Azure/Plan Your Visit Text,PLANIFIER VOTRE VISITE
Phrase,/Resource Keys/Map Azure/Use My Location Text,ME LOCALISER
Phrase,/Resource Keys/Map Azure/Input Location Placeholder,D'où venez-vous ?
Phrase,/Resource Keys/Practical Info/Re Oening Label,{0} est ouvert
Phrase,/Resource Keys/Practical Info/Search closed label,{0} est fermé
Phrase,/Resource Keys/Practical Info/Store Hours Label,Horaires boutique
Phrase,/Resource Keys/Practical Info/View all operation hours,Voir tous les horaires
Phrase,/Resource Keys/Practical Info/Display Exceptional Date,{0} {1} {2}
Phrase,/Resource Keys/Practical Info/Display Time,{0} - {1}
